SentenceID	pos_tags	position	tokens
288	"[30 44 33 43 24 26 16 30 44 42 38 40 36 12 26 16 12 26 33 16 16 12 33 17
 23 22 40 43  6 33 33 16 12 17 23  6 10 33 16 12 23 16 12 24 16 24  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39' '40' '41' '42' '43'
 '44' '45' '46']"	"['They' 'have' 'indeed' 'threatened' 'Milosevic' 'allies' 'that' 'they'
 'are' 'going' 'to' 'bring' 'out' 'the' 'people' 'onto' 'the' 'streets'
 'again' 'so' 'that' 'a' 'completely' 'new' 'authority' 'can' 'be'
 'established' ',' 'not' 'just' 'on' 'the' 'federal' 'level' ',' 'but'
 'also' 'on' 'the' 'level' 'of' 'the' 'Republic' 'of' 'Serbia' '.']"
136	"[17 23  6 16 33  6  6 12 23 23  6 17 23  6 12 23  6 33 30 41 42 24 24 45
 42 23 33  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27']"	"['Good' 'grief' '!' 'At' 'first' ',' ',' 'that' 'credit' 'union' ','
 'Good' 'grief' '!' 'That' 'service' ',' 'everywhere' 'they' 'were'
 'saying' 'Zheng' 'Bing' 'is' 'raising' 'capital' 'illegally' '.']"
204	[16  6 33 16 12  6 12 26 44 12 23 16 23 16 12 16 30  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17']"	"['Because' ',' 'first' 'of' 'all' ',' 'these' 'lanes' 'are' 'a' 'matter'
 'of' 'concern' 'to' 'all' 'of' 'us' '.']"
141	[16 30 12 41  6 30 41 16 30  6 24 24  6 30 44 38 40 31 23  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19']"	"['After' 'they' 'all' 'came' ',' 'they' 'said' 'to' 'me' ',' 'Zheng'
 'Bing' ',' 'we' 'need' 'to' 'investigate' 'your' 'business' '.']"
231	[10 30 33 41 33 40 38 40 17 26 29 26  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12']	"['And' 'you' 'absolutely' 'did' ""n't"" 'want' 'to' 'hear' 'other' 'people'
 ""'s"" 'opinions' '.']"
232	[39  7]	['0' '1']	['Yes' '.']
302	"[30 22 40 26  6 33 16 17 26  6 16 24 24 24  6 10 12 24 24 45 42 12 17 23
 16 13 45 28 12 23 16 17 23 16 12 26 33 16 24  7]"	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22' '23' '24' '25' '26' '27' '28' '29'
 '30' '31' '32' '33' '34' '35' '36' '37' '38' '39']"	"['He' 'will' 'hold' 'talks' ',' 'probably' 'behind' 'closed' 'doors' ','
 'with' 'President' 'Vojislav' 'Kostunica' ',' 'but' 'the' 'United'
 'States' 'is' 'keeping' 'a' 'low' 'profile' 'because' 'there' 'is'
 'quite' 'a' 'lot' 'of' 'anti-American' 'sentiment' 'on' 'the' 'streets'
 'here' 'in' 'Serbia' '.']"
64	[16 24 16 11  6 12 23 30 44 43 11 38 11 23 26  7]	['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15']	"['Since' 'December' 'of' ""'98"" ',' 'each' 'year' 'we' ""'ve"" 'held' 'four'
 'to' 'six' 'training' 'sessions' '.']"
298	[39  6 16 12 23 30 45 12 23  6 47 45 42 38 40 16 24 33  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18']"	"['Well' ',' 'at' 'the' 'moment' 'it' 'is' 'a' 'race' ',' 'who' 'is'
 'going' 'to' 'get' 'to' 'Belgrade' 'first' '.']"
66	[39  6 33 33  7]	['0' '1' '2' '3' '4']	['Um' ',' 'not' 'necessarily' '.']
9	[33 33 12 23 45 33 43 18 16 11 26 16 26 16 12 26  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['So' 'far' 'this' 'city' 'has' 'already' 'received' 'more' 'than'
 '1,000,000' 'yuan' 'in' 'donations' 'of' 'all' 'kinds' '.']"
154	[30 22 33 40 23 29 23 10 40 30 16 31 17  6 38 40 23 16 30  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19']"	"['You' 'ca' ""n't"" 'take' 'everybody' ""'s"" 'business' 'and' 'run' 'it' 'as'
 'your' 'own' ',' 'to' 'make' 'money' 'for' 'yourself' '.']"
252	[33 33  6 12 26 44 30  6 12 24 11  6 47 45 12 40  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16']"	"['Of' 'course' ',' 'some' 'people' 'ask' 'you' ',' 'this' 'Number' 'One'
 ',' 'what' 'does' 'that' 'imply' '?']"
215	[16 12 23  6 30 41 33 33 17 38 40 12 23 43  6 38 40 30  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18']"	"['In' 'the' 'end' ',' 'it' 'was' 'actually' 'very' 'difficult' 'to' 'get'
 'this' 'thing' 'done' ',' 'to' 'complete' 'it' '.']"
21	[16 12 23  6 12 23 41 33 10 40 12 26 40 16 12 26 38 40 26  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19']"	"['In' 'the' 'end' ',' 'the' 'contractor' 'came' 'around' 'and' 'let' 'the'
 'kids' 'go' 'into' 'the' 'classrooms' 'to' 'attend' 'classes' '.']"
27	[10 49 30 41 30  6 30 41 30 41 23 47 33 41 38 40 17 17  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18']"	"['But' 'when' 'I' 'saw' 'her' ',' 'I' 'felt' 'she' 'was' 'someone' 'who'
 'really' 'wanted' 'to' 'be' 'low' 'key' '.']"
157	[44 33 40 30 40 26  6 33 30 22  6 40 17 38 40 12 23 10 40 12 23 42  7]	"['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15'
 '16' '17' '18' '19' '20' '21' '22']"	"['Do' ""n't"" 'let' 'them' 'become' 'shareholders' ',' 'then' 'we' ""'ll"" ','
 'be' 'able' 'to' 'loan' 'the' 'money' 'and' 'get' 'the' 'business'
 'going' '.']"
